Timestamp                       Thread     Type        Activity             PID    TTL  
2023-03-01 10:40:15.344322+0800 0x25b349   Default     0x0                  7109   0    eapolclient: [com.apple.eapol:Client] en0 STOP
2023-03-01 10:40:15.634429+0800 0x264a64   Default     0x0                  8660   0    eapolclient: [com.apple.eapol:Client] en0 START uid 501 gid 20
2023-03-01 10:40:15.637339+0800 0x264a64   Default     0x0                  8660   0    eapolclient: [com.apple.eapol:Client] en0: 802.1X User Mode
2023-03-01 10:40:15.766240+0800 0x264a39   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 10:40:15.872735+0800 0x264a39   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 10:40:15.875549+0800 0x264a39   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 10:40:15.886543+0800 0x264a39   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 10:40:15.902462+0800 0x264a39   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 10:40:15.906718+0800 0x264a39   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 10:40:16.138851+0800 0x264a64   Default     0x0                  8660   0    eapolclient: [com.apple.eapol:Client] en0 EAP-PEAP: successfully authenticated
2023-03-01 10:40:16.203997+0800 0x264a3d   Default     0x2a0533             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 10:40:16.210689+0800 0x264a3d   Default     0x2a0533             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 12:23:55.125905+0800 0x270fa4   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 12:23:55.284791+0800 0x270fa4   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 13:04:22.146769+0800 0x271450   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 13:04:22.161686+0800 0x271450   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 13:15:54.599809+0800 0x271761   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 13:15:54.615704+0800 0x271761   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 13:20:58.272134+0800 0x271ef4   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 13:20:58.278180+0800 0x271ef4   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 13:31:47.668669+0800 0x2721eb   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 13:31:47.694475+0800 0x2721eb   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 13:32:47.212661+0800 0x272989   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 13:32:47.237028+0800 0x272989   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 13:32:48.328111+0800 0x272989   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 13:32:48.365181+0800 0x272989   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 15:55:18.352229+0800 0x264a64   Default     0x0                  8660   0    eapolclient: [com.apple.eapol:Client] en0 STOP
2023-03-01 15:55:18.642140+0800 0x28f437   Default     0x0                  14529  0    eapolclient: [com.apple.eapol:Client] en0 START uid 501 gid 20
2023-03-01 15:55:18.644229+0800 0x28f437   Default     0x0                  14529  0    eapolclient: [com.apple.eapol:Client] en0: 802.1X User Mode
2023-03-01 15:55:18.832135+0800 0x28f423   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 15:55:18.849153+0800 0x28f423   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 15:55:18.852940+0800 0x28f423   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 15:55:18.867328+0800 0x28f423   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 15:55:18.868364+0800 0x28f423   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 15:55:18.873545+0800 0x28f423   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 15:55:19.436074+0800 0x28f437   Default     0x0                  14529  0    eapolclient: [com.apple.eapol:Client] en0 EAP-PEAP: successfully authenticated
2023-03-01 15:55:19.562669+0800 0x28f24b   Default     0x2a0539             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 15:55:19.564912+0800 0x28f24b   Default     0x2a0539             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:01:17.323881+0800 0x29729b   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:01:17.424849+0800 0x29729b   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:04:32.665056+0800 0x28f437   Default     0x0                  14529  0    eapolclient: [com.apple.eapol:Client] en0 STOP
2023-03-01 17:04:32.917729+0800 0x29abce   Default     0x0                  15655  0    eapolclient: [com.apple.eapol:Client] en0 START uid 501 gid 20
2023-03-01 17:04:32.921535+0800 0x29abce   Default     0x0                  15655  0    eapolclient: [com.apple.eapol:Client] en0: 802.1X User Mode
